name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
Xenon/R40                                                 [XE/R40],[Xe].CCl,XR0,1.0366562,1.03491,1,1
Xenon/Cyclopentane                                        [XE/CC5],[Xe].C1CCCC1,XR0,0.953688869,1.17726,1,1
Xenon/Methanol                                            [XE/MEO],[Xe].CO,XR0,1.068855683,0.77335,1,1
Xenon/Hexane                                              [XE/C6],[Xe].CCCCCC,XR0,0.980786395,1.16656,1,1
Ethylene/Propylene                                        [ETY/PRY],C=C.CC=C,XR0,1.004,1.016,1,1
Ethylene/Propane                                          [ETY/C3],C=C.CCC,XR0,1.006036217,1.014,1,1
Ethylene/R1216                                            [ETY/R1216],C=C.C(=C(F)F)(C(F)(F)F)F,XR0,1.01864,0.99653,1,1
Ethylene/Isobutane                                        [ETY/C4I],C=C.CC(C)C,XR0,0.995024876,1.057,1,1
Ethylene/Butene                                           [ETY/1BE],C=C.CCC=C,XR0,1,1.0486,1,1
Ethylene/Perfluorobutane                                  [ETY/C4F10],C=C.C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,XR0,1.0415148,0.97341,1,1
Ethylene/Butane                                           [ETY/C4],C=C.CCCC,XR0,0.978473581,1.058,1,1
Ethylene/Diethyl ether                                    [ETY/DEE],C=C.CCOCC,XR0,0.9890121,1.10874,1,1
Ethylene/Acetone                                          [ETY/ACT],C=C.CC(=O)C,XR0,1.0078308,1.10077,1,1
Ethylene/Methanol                                         [ETY/MEO],C=C.CO,XR0,0.955,1.143,1.481,0.857
Ethylene/Ethanol                                          [ETY/ETO],C=C.CCO,XR0,1,1.149,0.788,1.159
Ethylene/Benzene                                          [ETY/BEN],C=C.C1=CC=CC=C1,XR0,0.978473581,1.124,1,1
Ethylene/Cyclohexane                                      [ETY/CC6],C=C.C1CCCCC1,XR0,0.9987416,1.12037,1,1
Ethylene/Toluene                                          [ETY/TOL],C=C.CC1=CC=CC=C1,XR0,0.992063492,1.173,1,1
Ethane/Hydrogen chloride                                  [C2/HCL],CC.Cl,XR0,0.99182,0.90586,1,1
Ethane/R23                                                [C2/R23],CC.C(F)(F)F,XR0,1.00597,0.87082,1,1
Ethane/R116                                               [C2/R116],CC.C(C(F)(F)F)(F)(F)F,XR0,1.03539,0.89844,1,1
Ethane/Propylene                                          [C2/PRY],CC.CC=C,XR0,1,1.002,1,1
Ethane/R218                                               [C2/R218],CC.C(C(F)(F)F)(C(F)(F)F)(F)F,XR0,1.03147,0.93581,1,1
Ethane/R1216                                              [C2/R1216],CC.C(=C(F)F)(C(F)(F)F)F,XR0,1.01157,0.93961,1,1
Ethane/Dimethyl ether                                     [C2/DME],CC.COC,XR0,1,1.0388,1,1.0476
Ethane/Perfluorobutane                                    [C2/C4F10],CC.C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,XR0,1.0288172,0.97003,1,1
Ethane/Ethanol                                            [C2/ETO],CC.CCO,XR0,0.994,1.086,1,1.179
Ethane/Benzene                                            [C2/BEN],CC.C1=CC=CC=C1,XR0,1,1.081,1,1
Ethane/Cyclohexane                                        [C2/CC6],CC.C1CCCCC1,XR0,0.9958,1.1004,1,1
Ethane/Isooctane                                          [C2/C8I],CC.CC(C)CC(C)(C)C,XR0,0.90358,1.22877,1,1
Ethane/Methylcyclohexane                                  [C2/C1CC6],CC.CC1CCCCC1,XR0,0.988,1.122,1,1
Ethane/Toluene                                            [C2/TOL],CC.CC1=CC=CC=C1,XR0,1,1.129,1,1
Ethane/m-Xylene                                           [C2/XYM],CC.CC1=CC(=CC=C1)C,XR0,0.98799,1.17616,1,1
