Tred_0,Tred_0_1,Tred_0_2,Tred_0_3,Tred_0_4,Tred_0_5,Tred_0_6,Tred_0_7,Tred_0_8,Tred_0_9,Tred_1,Dred_0,Dred_0_1,Dred_0_2,Dred_0_3,Dred_0_4,Dred_0_5,Dred_0_6,Dred_0_7,Dred_0_8,Dred_0_9,Dred_1,SMILES_part1,SMILES_part2
568.74,567.4556032,566.3072946,565.2950742,564.418942,563.6788979,563.074942,562.6070742,562.2752946,562.0796032,562.02,2.031,2.138970561,2.257647181,2.388678823,2.534070656,2.696285701,2.878383393,3.084211702,3.318678623,3.588144142,3.901,c1ccccc1,CCCCCCCC
594.55,591.6734276,588.5264584,585.1796144,581.7031351,578.166978,574.6408203,571.1940605,567.8958197,564.8149428,562.02,1.81,1.924936651,2.052296997,2.194088763,2.352768972,2.531376368,2.733713546,2.964601965,3.230246324,3.53876718,3.901,c1ccccc1,CCCCCCCCC
617.7,618.2465397,617.1120616,614.4187655,610.2880648,604.8405929,598.196209,590.4740048,581.7923104,572.2687004,562.02,1.64,1.754743003,1.883172437,2.02773749,2.191497333,2.378322481,2.593181398,2.842557654,3.135072647,3.482442641,3.901,c1ccccc1,CCCCCCCCCC
540.2,541.5326124,542.8668666,544.2027624,545.5402999,546.879479,548.2202999,549.5627624,550.9068666,552.2526124,553.6,2.33,2.399210376,2.47200674,2.548666301,2.629495404,2.714833453,2.805057494,2.900587569,3.001893023,3.109499944,3.224,C1CCCCC1,CCCCCCC
591.75,587.8778016,584.018314,580.1715371,576.3374709,572.5161156,568.7074709,564.9115371,561.128314,557.3578016,553.6,3.169,3.175621568,3.182001626,3.188137096,3.194024995,3.199662447,3.205046682,3.210175042,3.21504498,3.219654069,3.224,C1CCCCC1,Cc1ccccc1
568.74,568.0248203,567.132125,566.0619141,564.8141876,563.3889454,561.7861876,560.0059141,558.048125,555.9128203,553.6,2.031,2.112464963,2.199911771,2.294012332,2.395542826,2.505404744,2.624651232,2.75452037,2.89647762,3.052270526,3.224,C1CCCCC1,CCCCCCCC
594.55,591.9382718,588.9969276,585.7259674,582.1253914,578.1951993,573.9353914,569.3459674,564.4269276,559.1782718,553.6,1.81,1.898075326,1.99391816,2.098578462,2.213303574,2.339586855,2.479231443,2.634434934,2.807903435,3.003007617,3.224,C1CCCCC1,CCCCCCCCC
617.7,613.7635015,609.277336,604.2415035,598.6560041,592.5208376,585.8360041,578.6015035,570.817336,562.4835015,553.6,1.64,1.730872753,1.830875006,1.941418753,2.06422162,2.201394223,2.355559299,2.530016969,2.728978409,2.957903406,3.224,C1CCCCC1,CCCCCCCCCC
638.8,634.2873685,628.8842106,622.5905264,615.4063159,607.331579,598.3663159,588.5105264,577.7642106,566.1273685,553.6,1.5149,1.606785839,1.708748264,1.822491907,1.950126722,2.094295958,2.258355852,2.446633245,2.664803563,2.920460344,3.224,C1CCCCC1,CCCCCCCCCCC
658.1,653.1975264,647.0622691,639.6942282,631.0934036,621.2597954,610.1934036,597.8942282,584.3622691,569.5975264,553.6,1.33,1.42161405,1.524567464,1.641029589,1.773756735,1.926304799,2.103341514,2.311117385,2.558198088,2.856644999,3.224,C1CCCCC1,CCCCCCCCCCCC
