name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
R143a/Dimethyl ether                                      [R143A/DME],CC(F)(F)F.COC,XR0,0.999880014,0.99059,1,1
R143a/R152a                                               [R143A/R152A],CC(F)(F)F.CC(F)F,XR0,1,0.9889541,1,1.000572
R143a/Isobutane                                           [R143A/C4I],CC(F)(F)F.CC(C)C,XR0,1,0.9254452,1,1.0064788
R143a/Isobutene                                           [R143A/IBE],CC(F)(F)F.CC(=C)C,XR0,0.997804829,0.94375,1,1
R143a/R236fa                                              [R143A/R236FA],CC(F)(F)F.C(C(F)(F)F)C(F)(F)F,XR0,0.99911,1.01834,1,1
R143a/Butane                                              [R143A/C4],CC(F)(F)F.CCCC,XR0,0.999070864,0.91912,1,1
Propane/R22                                               [C3/R22],CCC.C(F)(F)Cl,XR0,1,0.9412329,1,1.0030692
Propane/R115                                              [C3/R115],CCC.C(C(F)(F)Cl)(F)(F)F,XR0,1,0.9432827,1,1.0043338
Propane/R1216                                             [C3/R1216],CCC.C(=C(F)F)(C(F)(F)F)F,XR0,1.01214,0.92233,1,1
Propane/R134a                                             [C3/R134A],CCC.C(C(F)(F)F)F,XR0,1,0.9002394,1,1.0000015
Propane/R152a                                             [C3/R152A],CCC.CC(F)F,XR0,1.01223,0.92009,1,1
Propane/R13I1                                             [C3/CF3I],CCC.C(F)(F)(F)I,XR0,1.0055102,0.98807,1,1
Propane/R227ea                                            [C3/R227EA],CCC.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.02125,0.91449,1,1
Propane/RC318                                             [C3/RC318],CCC.C1(C(C(C1(F)F)(F)F)(F)F)(F)F,XR0,1.02377,0.9232,1,1
Propane/R236fa                                            [C3/R236FA],CCC.C(C(F)(F)F)C(F)(F)F,XR0,1.02204,0.91493,1,1
Propane/R114                                              [C3/R114],CCC.C(C(F)(F)Cl)(F)(F)Cl,XR0,1.00332,0.98055,1,1
Propane/R236ea                                            [C3/R236EA],CCC.C(C(F)F)(C(F)(F)F)F,XR0,1.02233,0.92015,1,1
Propane/R245fa                                            [C3/R245FA],CCC.C(C(F)F)C(F)(F)F,XR0,1.02121,0.92286,1,1
Propane/R113                                              [C3/R113],CCC.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1.0047,1.01447,1,1
R22/R218                                                  [R22/R218],C(F)(F)Cl.C(C(F)(F)F)(C(F)(F)F)(F)F,XR0,1,0.8866968,1,1.0293533
R22/R1216                                                 [R22/R1216],C(F)(F)Cl.C(=C(F)F)(C(F)(F)F)F,XR0,1.0040866,0.96186,1,1
R22/R12                                                   [R22/R12],C(F)(F)Cl.C(F)(F)(Cl)Cl,XR0,1,0.9701504,1,1.0056117
R22/R134a                                                 [R22/R134A],C(F)(F)Cl.C(C(F)(F)F)F,XR0,1,0.9907541,1,1.0032063
R22/Dimethyl ether                                        [R22/DME],C(F)(F)Cl.COC,XR0,0.985309042,1.07125,1,1
R22/R124                                                  [R22/R124],C(F)(F)Cl.C(C(F)(F)F)(F)Cl,XR0,1,1.0004273,1,1.0126149
R22/R142b                                                 [R22/R142B],C(F)(F)Cl.C(F)(F)(Cl)Br,XR0,1,1.0050317,1,1.0080566
R22/RC318                                                 [R22/RC318],C(F)(F)Cl.C1(C(C(C1(F)F)(F)F)(F)F)(F)F,XR0,1.05268,0.96966,1,1
R22/R11                                                   [R22/R11],C(F)(F)Cl.C(F)(Cl)(Cl)Cl,XR0,1,0.9751865,1,1.0137561
R22/R123                                                  [R22/R123],C(F)(F)Cl.C(C(F)(F)F)(Cl)Cl,XR0,1.005207,1.01277,1,1
R22/Pentane                                               [R22/C5],C(F)(F)Cl.CCCCC,XR0,1,0.9569485,1,1.0331871
R22/R113                                                  [R22/R113],C(F)(F)Cl.C(F)(F)Cl,XR0,1,0.977445,1,1.0412243
