BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0,0.9975547,1.0,1.0120247,FCF,CC(F)F
1.0,0.8573096,1.0,1.0454476,FCF,CC(C)C
1.002379951,0.99968,1.0,1.0,FCF,O=S=O
1.0,0.9718126,1.0,1.0305781,FCF,CC(F)(F)Cl
1.020262411,0.85398,1.0,1.0,FCF,C=CCC
1.0,0.9881848,1.0,1.0540041,FCF,FC(F)(F)CC(F)(F)F
1.0,0.8997516,1.0,0.7952703,FCF,CCCC
1.0018835,1.01165,1.0,1.0,FCF,FC(F)C(F)C(F)(F)F
1.0,0.972061,1.0,1.0550886,FCF,FC(F)(F)C(Cl)Cl
1.0,0.8885477,1.0,1.0683958,FCF,CCC(C)C
1.007049345,1.01175,1.0,1.0,FCF,CO
1.025031263,1.01657,1.0,1.0,FCF,CCO
1.0,0.9929,1.0,1.0,O=C=S,CCC
1.0,1.0122,1.0,1.0,O=C=S,CO
0.992723338,0.92944,1.0,1.0,FC(F)C(F)(F)F,C=CC
1.0,0.8993018,1.0,1.0001703,FC(F)C(F)(F)F,CCC
1.0,0.9775661,1.0,1.0046832,FC(F)C(F)(F)F,FC(F)Cl
1.000280078,0.96147,1.0,1.0,FC(F)C(F)(F)F,FC(F)(F)C(F)(F)Cl
1.01043,0.99311,1.0,1.0,FC(F)C(F)(F)F,CCF
0.95649845,0.96866,1.0,1.0,FC(F)C(F)(F)F,N
0.985008176,0.91039,1.0,1.0,FC(F)C(F)(F)F,C1CC1
1.0,0.999,1.0,1.0,FC(F)C(F)(F)F,C=C(F)C(F)(F)F
1.0,1.0529664,1.0,1.0039379,FC(F)C(F)(F)F,COC
0.99429,1.00282,1.0,1.0,FC(F)C(F)(F)F,CC(F)F
1.00105,1.00517,1.0,1.0,FC(F)C(F)(F)F,COC(F)(F)F
1.003,1.0071,1.0,1.0,FC(F)C(F)(F)F,FC=CC(F)(F)F
1.0,0.9053808,1.0,1.0036183,FC(F)C(F)(F)F,CC(C)C
1.0,1.0094115,1.0,1.0063437,FC(F)C(F)(F)F,FC(F)(F)CC(F)(F)F
1.0,0.9013212,1.0,1.003246,FC(F)C(F)(F)F,CCCC
0.99947,1.01046,1.0,1.0,FC(F)C(F)(F)F,FC(F)C(F)C(F)(F)F
0.99836,1.01325,1.0,1.0,FC(F)C(F)(F)F,FC(F)CC(F)(F)F
1.0,0.9155196,1.0,1.0119468,FC(F)C(F)(F)F,CCC(C)C
0.995401246,1.05044,1.0,1.0,FC(F)C(F)(F)F,CCO
1.001001001,0.995,1.0,1.0,C=CC,CCC
1.0,0.9784013,1.0,1.0009101,C=CC,FC(F)Cl
1.0,0.9428297,1.0,1.0082859,C=CC,FC(F)Cl
0.9721,0.8483,1.0,1.0,C=CC,N
1.01903,0.93686,1.0,1.0,C=CC,FC(F)=C(F)C(F)(F)F
1.0,0.9887079,1.0,1.0020049,C=CC,FC(F)(Cl)Cl
1.0,0.9364605,1.0,1.0007007,C=CC,FCC(F)(F)F
1.0,0.9924,1.0,0.975,C=CC,COC
1.0,0.9499507,1.0,1.0000359,C=CC,CC(F)F
0.971817298,1.014,1.0,1.0,C=CC,CC(C)C
1.0,0.9913727,1.0,1.0035574,C=CC,CC(F)(F)Cl
1.0,1.0075,1.0,1.0,C=CC,C=CCC
1.0,1.02,1.0,1.0,C=CC,CCCC
1.0,0.9744438,1.0,1.0187337,C=CC,FC(F)(Cl)C(F)(F)Cl
1.0,1.035,1.0,1.0,C=CC,CCC(C)C
1.0,1.04,1.0,1.0,C=CC,CCCCC
1.019919,0.99014,1.0,1.0,C=CC,CC(C)=O
1.0,0.979,1.0,1.086,C=CC,CO
1.02145046,1.068,1.0,1.0,C=CC,CCCCCC
1.011,1.022,1.0,1.0,C=CC,CCO
1.0,1.03,1.0,1.0,C=CC,c1ccccc1
0.999011,1.04089,1.0,1.0,C=CC,C1CCCCC1
1.008064516,1.082,1.0,1.0,C=CC,CCCCCCC
0.964534082,1.11387,1.0,1.0,C=CC,CC(C)CC(C)(C)C
0.979431929,1.097,1.0,1.0,C=CC,CCCCCCCC
0.99082,1.09426,1.0,1.0,C=CC,Cc1ccc(C)cc1
0.9934926,1.09811,1.0,1.0,C=CC,Cc1cccc(C)c1
0.970873786,1.117,1.0,1.0,C=CC,CCCCCCCCC
0.956937799,1.191,1.0,1.0,C=CC,CCCCCCCCCC
1.0,0.9130538,1.0,1.0000536,CC(F)(F)F,CCC
1.0,0.9990265,1.0,1.0023121,CC(F)(F)F,FC(F)Cl
