BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0,0.9784013,1,1.0009101,C=CC,FC(F)Cl
1.0,0.9428297,1,1.0082859,C=CC,FC(F)Cl
1.01903,0.93686,1,1.0,C=CC,FC(F)=C(F)C(F)(F)F
1.0,0.9887079,1,1.0020049,C=CC,FC(F)(Cl)Cl
1.0,0.9364605,1,1.0007007,C=CC,FCC(F)(F)F
1.0,0.9499507,1,1.0000359,C=CC,CC(F)F
1.0,0.9913727,1,1.0035574,C=CC,CC(F)(F)Cl
1.0,0.9744438,1,1.0187337,C=CC,FC(F)(Cl)C(F)(F)Cl
1.0,0.9130538,1,1.0000536,CC(F)(F)F,CCC
1.0,0.9990265,1,1.0023121,CC(F)(F)F,FC(F)Cl
0.99931,0.99556,1,1.0,CC(F)(F)F,CCF
1.0,0.94844,1,1.0007214,CC(F)(F)F,FC(F)(Cl)Cl
0.9997601,0.99523,1,1.0,CC(F)(F)F,C=C(F)C(F)(F)F
0.999880014,0.99059,1,1.0,CC(F)(F)F,COC
1.0,0.9889541,1,1.000572,CC(F)(F)F,CC(F)F
1.0,0.9254452,1,1.0064788,CC(F)(F)F,CC(C)C
0.997804829,0.94375,1,1.0,CC(F)(F)F,C=C(C)C
0.99911,1.01834,1,1.0,CC(F)(F)F,FC(F)(F)CC(F)(F)F
0.999070864,0.91912,1,1.0,CC(F)(F)F,CCCC
1.0,0.9412329,1,1.0030692,CCC,FC(F)Cl
1.0,0.9432827,1,1.0043338,CCC,FC(F)(F)C(F)(F)Cl
1.01214,0.92233,1,1.0,CCC,FC(F)=C(F)C(F)(F)F
1.0,0.9002394,1,1.0000015,CCC,FCC(F)(F)F
1.01223,0.92009,1,1.0,CCC,CC(F)F
1.0055102,0.98807,1,1.0,CCC,FC(F)(F)I
1.02125,0.91449,1,1.0,CCC,FC(C(F)(F)F)C(F)(F)F
1.02377,0.9232,1,1.0,CCC,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.02204,0.91493,1,1.0,CCC,FC(F)(F)CC(F)(F)F
1.00332,0.98055,1,1.0,CCC,FC(F)(Cl)C(F)(F)Cl
1.02233,0.92015,1,1.0,CCC,FC(F)C(F)C(F)(F)F
1.02121,0.92286,1,1.0,CCC,FC(F)CC(F)(F)F
1.0047,1.01447,1,1.0,CCC,FC(F)(Cl)C(F)(Cl)Cl
1.0,0.8866968,1,1.0293533,FC(F)Cl,FC(F)(F)C(F)(F)C(F)(F)F
1.0040866,0.96186,1,1.0,FC(F)Cl,FC(F)=C(F)C(F)(F)F
1.0,0.9701504,1,1.0056117,FC(F)Cl,FC(F)(Cl)Cl
1.0,0.9907541,1,1.0032063,FC(F)Cl,FCC(F)(F)F
0.985309042,1.07125,1,1.0,FC(F)Cl,COC
1.0,1.0004273,1,1.0126149,FC(F)Cl,FC(Cl)C(F)(F)F
1.0,1.0050317,1,1.0080566,FC(F)Cl,FC(F)(Cl)Br
1.05268,0.96966,1,1.0,FC(F)Cl,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.0,0.9751865,1,1.0137561,FC(F)Cl,FC(Cl)(Cl)Cl
1.005207,1.01277,1,1.0,FC(F)Cl,FC(F)(F)C(Cl)Cl
1.0,0.9569485,1,1.0331871,FC(F)Cl,CCCCC
1.0,0.977445,1,1.0412243,FC(F)Cl,FC(F)Cl
0.95551139,1.07981,1,1.0,FC(F)Cl,CC(C)=O
0.997386846,1.03751,1,1.0,FC(F)Cl,CO
1.010866818,0.99579,1,1.0,FC(F)Cl,CCCCCC
1.006309561,1.05058,1,1.0,FC(F)Cl,CCO
0.989511181,1.03496,1,1.0,FC(F)Cl,c1ccccc1
1.009142834,0.97638,1,1.0,FC(F)Cl,C1CCCCC1
1.0,1.0008497,1,1.0021192,FC(F)(F)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl
1.0021948,0.98828,1,1.0,CCF,C=C(F)C(F)(F)F
0.998991019,1.00619,1,1.0,CCF,FCC(F)(F)F
1.00966,1.02456,1,1.0,CCF,FC(C(F)(F)F)C(F)(F)F
1.0,0.9201114,1,1.0132426,FC(F)(F)C(F)(F)C(F)(F)F,FCC(F)(F)F
1.0,0.8968592,1,1.0018693,FC(F)(F)C(F)(F)C(F)(F)F,CC(C)C
1.00386,1.04248,1,1.0,FC(F)(F)C(F)(F)C(F)(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.055547,0.935232,1,1.0,N,FCC(F)(F)F
1.01623,0.91325,1,1.0,C1CC1,FCC(F)(F)F
1.00036013,0.97942,1,1.0,FC(F)=C(F)C(F)(F)F,FC(F)(Cl)Cl
0.982965213,0.92312,1,1.0,FC(F)=C(F)C(F)(F)F,C=CCC
1.00387,1.00433,1,1.0,FC(F)=C(F)C(F)(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.004939983,0.97467,1,1.0,FC(F)=C(F)C(F)(F)F,FC(F)(F)C(Cl)Cl
1.0,0.9404374,1,1.0003354,FCC(F)(F)F,FCC(F)(F)F
1.0,0.942583,1,1.002577,FC(F)(Cl)Cl,CC(F)F
1.0,0.9777321,1,1.0002214,FC(F)(Cl)Cl,FC(F)(Cl)Br
1.00226,0.96907,1,1.0,FC(F)(Cl)Cl,FC1(F)C(F)(F)C(F)(F)C1(F)F
1.0,0.9983405,1,1.0085162,FC(F)(Cl)Cl,FC(F)(Cl)C(F)(F)Cl
1.0,1.0044593,1,1.0018062,FC(F)(Cl)Cl,FC(Cl)(Cl)Cl
1.004328657,1.02787,1,1.0,FC(F)(Cl)Cl,CCOCC
1.0,1.0301898,1,1.0165841,FC(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl
1.038507872,0.989,1,1.0,FC(F)(Cl)Cl,C1CCCCC1
1.011920423,1.03388,1,1.0,FC(F)(Cl)Cl,CCCCCCC
1.003482083,1.06084,1,1.0,FC(F)(Cl)Cl,CCCCCCCC
1.0,0.985,1,1.0,C=C(F)C(F)(F)F,FCC(F)(F)F
0.996300041,0.98112,1,1.0,C=C(F)C(F)(F)F,CC(F)F
1.0,0.987,1,1.0,C=C(F)C(F)(F)F,FC=CC(F)(F)F
0.999379985,0.99916,1,1.0,C=C(F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F
0.992752904,0.93536,1,1.0,C=C(F)C(F)(F)F,CC(C)C
1.0,1.0134905,1,1.0025949,FCC(F)(F)F,COC
0.99957,0.99594,1,1.0,FCC(F)(F)F,CC(F)(F)F
1.0,0.992,1,1.0,FCC(F)(F)F,FC=CC(F)(F)F
1.0,0.9855694,1,1.0104107,FCC(F)(F)F,FC(C(F)(F)F)C(F)(F)F
1.0,0.9874736,1,1.0031148,FCC(F)(F)F,FC(Cl)C(F)(F)F
1.0,0.8937027,1,1.0051783,FCC(F)(F)F,CC(C)C
1.0,0.9869325,1,1.0011016,FCC(F)(F)F,FC(F)(Cl)Br
0.99958,1.00198,1,1.0,FCC(F)(F)F,FC(F)(F)CC(F)(F)F
1.0,0.8929711,1,1.0047311,FCC(F)(F)F,CCCC
1.0,1.0060512,1,1.0,FCC(F)(F)F,FC(F)CC(F)(F)F
1.0,0.9787038,1,1.0087988,FCC(F)(F)F,FC(F)(F)C(Cl)Cl
1.0,0.8993586,1,1.014659,FCC(F)(F)F,CCC(C)C
1.0,0.9692334,1,1.004749,FCC(F)(F)F,CC(F)(Cl)Cl
0.992270215,0.98889,1,1.0,FCC(F)(F)F,CO
1.029039495,0.98183,1,1.0,FCC(F)(F)F,CCO
0.99969,1.01217,1,1.0,COC,CCl
1.01575,1.05765,1,1.0,COC,FC(C(F)(F)F)C(F)(F)F
0.98997,1.04344,1,1.0,COC,FC(F)(F)CC(F)(F)F
0.98075,1.06804,1,1.0,COC,FC(F)C(F)C(F)(F)F
1.001251564,0.96404,1,1.0,CC(F)F,FC(F)(F)I
1.0,0.9934671,1,1.0180486,CC(F)F,FC(C(F)(F)F)C(F)(F)F
1.0,0.9906777,1,1.0077824,CC(F)F,FC(Cl)C(F)(F)F
1.0,0.9227117,1,1.0108869,CC(F)F,CC(C)C
1.0,0.9901133,1,1.0043071,CC(F)F,FC(F)(Cl)Br
0.999200639,0.93949,1,1.0,CC(F)F,C=C(C)C
0.997575891,0.91179,1,1.0,CC(F)F,CCCC
1.0,0.9504005,1,1.0203986,CC(F)F,FC(F)(Cl)C(F)(F)Cl
1.0,0.9210153,1,1.0250359,CC(F)F,CCCCC
1.0,0.946075,1,1.0320957,CC(F)F,FC(F)(Cl)C(F)(Cl)Cl
0.988660069,0.98828,1,1.0,CC(F)F,CO
1.031502073,0.97677,1,1.0,CC(F)F,CCO
0.99948027,0.97922,1,1.0,CCl,C=C(C)C
1.001999992,0.98459,1,1.0,FC(F)(F)I,CC(C)C
1.007049345,0.937,1,1.0,FC=CC(F)(F)F,CCCCC
1.0,0.9078054,1,1.0009088,FC(C(F)(F)F)C(F)(F)F,CC(C)C
0.987215559,0.92836,1,1.0,FC(C(F)(F)F)C(F)(F)F,C=C(C)C
0.985794698,0.90171,1,1.0,FC(C(F)(F)F)C(F)(F)F,CCCC
1.0,1.0025158,1,1.0005123,FC(Cl)C(F)(F)F,CC(F)(F)Cl
1.01357,0.90803,1,1.0,CC(C)C,FC(F)CC(F)(F)F
1.0,0.9945438,1,1.001278,CC(F)(F)Cl,CC(F)(Cl)Cl
1.0,0.9839683,1,1.0129894,CC(F)(F)Cl,FC(F)(Cl)C(F)(Cl)Cl
0.99786,0.93067,1,1.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(F)(F)CC(F)(F)F
1.02,0.904,1,1.0,CCCC,FC(F)CC(F)(F)F
1.0029,0.99168,1,1.0,CCCC,FC(F)(Cl)C(F)(Cl)Cl
1.0,0.960909,1,1.013936,FC(F)(Cl)C(F)(F)Cl,FC(Cl)Cl
1.003552576,0.97011,1,1.0,FC(F)(Cl)C(F)(F)Cl,CCCCC
1.0,1.0031258,1,1.0013426,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(Cl)Cl
1.003723815,0.98179,1,1.0,FC(F)(Cl)C(F)(F)Cl,CCCCCC
1.048646721,0.93497,1,1.0,FC(F)(Cl)C(F)(F)Cl,CCO
0.998821391,0.95788,1,1.0,FC(F)(Cl)C(F)(F)Cl,c1ccccc1
1.00791211,0.99663,1,1.0,FC(F)(Cl)C(F)(F)Cl,CCCCCCC
0.969208254,0.91282,1,1.0,FC(Cl)Cl,CO
1.020543541,0.90692,1,1.0,FC(Cl)Cl,CCO
1.011756612,0.90433,1,1.0,FC(F)CC(F)(F)F,CCC(C)C
1.0,0.9,1,1.0,FC(F)CC(F)(F)F,CCCCC
1.099959961,0.95847,1,1.0,FC(F)(F)C(Cl)Cl,O
1.01335,0.9238,1,1.0,CCC(C)C,CC(F)(F)CC(F)(F)F
1.0,0.977,1,1.0,CC(F)(Cl)Cl,CCCCC
1.0,0.928,1,1.0,COC(F)(F)C(F)(F)C(F)(F)F,CCCCC
1.011122346,0.98,1,1.0,COC(F)(F)C(F)(F)C(F)(F)F,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
1.003713741,0.95086,1,1.0,FC(F)(Cl)C(F)(Cl)Cl,CC(C)=O
1.00060036,0.98509,1,1.0,FC(F)(Cl)C(F)(Cl)Cl,CCCCCC
1.011940903,0.90301,1,1.0,FC(F)(Cl)C(F)(Cl)Cl,CCO
0.996293787,0.97215,1,1.0,FC(F)(Cl)C(F)(Cl)Cl,c1ccccc1
1.004247969,0.99057,1,1.0,FC(F)(Cl)C(F)(Cl)Cl,CCCCCCC
